decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2024-01-02,PATC11.SA,PATC11,fii,FII PATRIA,CI  ER,BRPATCCTF002,2024-01-02,38.9,586061.7568333334,60,532,7894,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,PATL11.SA,PATL11,fii,FII PATR LOG,CI  ER,BRPATLCTF003,2024-01-02,67.9,583527.321,60,2493,8720,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,WHGR11.SA,WHGR11,fii,FII WHG REAL,CI  ER,BRWHGRCTF008,2024-01-02,9.68,583082.0915,60,700,72331,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BLMG11.SA,BLMG11,fii,FII BLUE LOG,CI,BRBLMGCTF005,2024-01-02,41.93,573311.578,60,6562,65058,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,FATN11.SA,FATN11,fii,FII ATHENA I,CI,BRFATNCTF000,2024-01-02,92.19,558653.649,60,1612,20444,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,JGPX11.SA,JGPX11,fii,FIAGRO JGP,CI  ER,BRJGPXCTF006,2024-01-02,91.48,550569.8236666666,60,494,5713,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,SADI11.SA,SADI11,fii,FII SANT PAP,CI  ER,BRSADICTF007,2024-01-02,87.56,545087.877,60,365,6152,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BBGO11.SA,BBGO11,fii,FIAGRO BBGO,CI  ER,BRBBGOCTF002,2024-01-02,89.34,535512.9046666666,60,388,6589,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BLMR11.SA,BLMR11,fii,FII BLUE FOF,CI,BRBLMRCTF002,2024-01-02,6.64,535176.4756666666,60,2337,55433,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RPRI11.SA,RPRI11,fii,FII RBR PR,CI  ER,BRRPRICTF007,2024-01-02,103.55,533627.4583333334,60,83,210,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
